trajectory_num,pick_place_mode,time,target,torque1,torque2,theta1,theta2,omega1,omega2,eff_x,eff_y
8,2,0.8229360580444336,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.062060166,-0.032340527,1.0995574287564276,-4.223696789826278,1.1344640137963142,0.0,0.20696424003192482,0.06978613284171843
8,2,0.8368263244628906,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.05202446,-0.033813287,1.117010721276371,-4.223696789826278,1.1344640137963142,0.0,0.20543985529113098,0.07095589512942138
8,2,0.8503458499908447,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.034614753,-0.03644333,1.1344640137963142,-4.223696789826278,1.239183768915974,0.0,0.20390263737655728,0.07211219836248171
8,2,0.8629271984100342,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.03118496,-0.035637476,1.1519173063162575,-4.223696789826278,1.1344640137963142,0.0,0.20235296931369987,0.07325468565616795
8,2,0.8782470226287842,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.019337846,-0.03725195,1.1519173063162575,-4.223696789826278,1.239183768915974,0.0,0.20235296931369987,0.07325468565616795
8,2,0.8909797668457031,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.017731667,-0.036877062,1.1868238913561442,-4.223696789826278,0.9424777960769379,0.0,0.19921782905366392,0.07549686550175684
8,2,0.9047131538391113,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.017731667,-0.036877062,1.1868238913561442,-4.223696789826278,0.9424777960769379,0.0,0.19921782905366392,0.07549686550175684
8,2,0.9183847904205322,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.032094575,-0.04084177,1.2042771838760873,-4.223696789826278,0.6632251157578453,0.0,0.19763313658517884,0.07659592399063905
8,2,0.9337306022644043,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.022887802,-0.042594623,1.2042771838760873,-4.223696789826278,0.7504915783575618,0.0,0.19763313658517884,0.07659592399063905
8,2,0.9485516548156738,"(np.float64(0.1889612092933756), np.float64(0.06552603591233873))",0.028027153,-0.04822731,1.2217304763960306,-4.223696789826278,0.5585053606381855,0.0,0.19603755306346082,0.07767989783733947
