time,series_id,torque_trial,speed2,torque2
0.052126169204711914,3,0.25,104,0.24750000000000003
0.06245541572570801,3,0.25,126,0.234
0.07300162315368652,3,0.25,148,0.23850000000000002
0.08394455909729004,3,0.25,181,0.24300000000000002
0.09424519538879395,3,0.25,208,0.2295
0.10466837882995605,3,0.25,247,0.24300000000000002
0.1147921085357666,3,0.25,263,0.25200000000000006
0.12513113021850586,3,0.25,263,0.25200000000000006
0.13585257530212402,3,0.25,280,0.2205
0.1463313102722168,3,0.25,313,0.1935
0.15676236152648926,3,0.25,357,0.24750000000000003
0.16731786727905273,3,0.25,362,0.25650000000000006
0.1778879165649414,3,0.25,395,0.27
0.18799710273742676,3,0.25,433,0.28350000000000003
0.19823503494262695,3,0.25,444,0.25200000000000006
0.20873618125915527,3,0.25,466,0.1935
0.2191019058227539,3,0.25,499,0.2025
0.22998571395874023,3,0.25,516,0.261
0.24033617973327637,3,0.25,560,0.279
0.25093936920166016,3,0.25,576,0.171
0.2614455223083496,3,0.25,604,0.28350000000000003
0.2716672420501709,3,0.25,626,0.216
0.28196072578430176,3,0.25,659,0.23850000000000002
0.2923774719238281,3,0.25,670,0.324
0.3028087615966797,3,0.25,697,0.24750000000000003
0.3131442070007324,3,0.25,741,0.18450000000000003
0.3238229751586914,3,0.25,758,0.20700000000000002
0.33391237258911133,3,0.25,785,0.1935
0.3441770076751709,3,0.25,807,0.1665
0.35462498664855957,3,0.25,834,0.162
0.3648805618286133,3,0.25,862,0.198
0.37510156631469727,3,0.25,862,0.198
0.0,4,0.25,21,0.24300000000000002
0.01048898696899414,4,0.25,21,0.24300000000000002
0.020691871643066406,4,0.25,54,0.24300000000000002
0.030959367752075195,4,0.25,71,0.24300000000000002
0.04135608673095703,4,0.25,82,0.25200000000000006
0.0518798828125,4,0.25,93,0.25200000000000006
0.0624539852142334,4,0.25,98,0.23850000000000002
0.0728759765625,4,0.25,120,0.2295
0.08338737487792969,4,0.25,148,0.23850000000000002
0.0939629077911377,4,0.25,164,0.225
0.1044459342956543,4,0.25,214,0.23850000000000002
0.11488914489746094,4,0.25,236,0.234
0.12527179718017578,4,0.25,258,0.25200000000000006
0.13573837280273438,4,0.25,274,0.25200000000000006
0.14601922035217285,4,0.25,307,0.2295
0.1561291217803955,4,0.25,346,0.23850000000000002
0.16644883155822754,4,0.25,362,0.2655
0.17663002014160156,4,0.25,384,0.261
0.18708300590515137,4,0.25,417,0.28350000000000003
0.19764089584350586,4,0.25,450,0.261
0.20792937278747559,4,0.25,472,0.1935
0.21805310249328613,4,0.25,505,0.21150000000000002
0.22829198837280273,4,0.25,499,0.2205
