trajectory_num,pick_place_mode,time,torque1,torque2,theta1,theta2,omega1,omega2,eff_x,eff_y,power1,power2
0,1,0.29588794708251953,-0.04204202111151062,-0.03603212018233229,2.897246558310587,-2.4609142453120048,-0.47123889803846897,-0.3665191429188092,-0.03342000278577885,0.19675190382024504,0.019811835699898313,0.013206461806775958
0,1,0.3071777820587158,0.03795797888849052,-0.03603212018233229,2.8797932657906435,-2.4609142453120048,-0.47123889803846897,-0.3665191429188092,-0.03226788094155767,0.19802059923743356,0.0,0.013206461806775958
0,1,0.317950963973999,0.06795797888849052,0.10996787981766681,2.8797932657906435,-2.478367537831948,-0.5585053606381855,-0.5585053606381855,-0.030756239506701845,0.19711741560440113,0.0,0.0
0,1,0.32843565940856934,0.0019579788884905164,-0.022032120182333192,2.8797932657906435,-2.478367537831948,-0.3665191429188092,-0.17453292519943295,-0.030756239506701845,0.19711741560440113,0.0,0.003845330383768076
0,1,0.3397963047027588,-0.06404202111150949,-0.022032120182333192,2.8797932657906435,-2.478367537831948,-0.17453292519943295,-0.17453292519943295,-0.030756239506701845,0.19711741560440113,0.01117744128027559,0.003845330383768076
0,1,0.35051941871643066,0.05195797888848963,-0.022032120182333192,2.8623399732707004,-2.478367537831948,-0.2792526803190927,-0.17453292519943295,-0.029588128779388198,0.19837382348856672,0.0,0.003845330383768076
0,1,0.36121034622192383,0.05195797888848963,-0.08203212018233319,2.8623399732707004,-2.478367537831948,-0.2792526803190927,0.0,-0.029588128779388198,0.19837382348856672,0.0,0.0
0,1,0.37218499183654785,-0.014042021111510386,-0.08203212018233319,2.8623399732707004,-2.478367537831948,-0.08726646259971647,0.0,-0.029588128779388198,0.19837382348856672,0.0012253975101520502,0.0
0,1,0.383256196975708,-0.044042021111510385,-0.1420321201823332,2.8623399732707004,-2.478367537831948,0.0,0.17453292519943295,-0.029588128779388198,0.19837382348856672,0.0,0.0
0,1,0.3938865661621094,-0.044042021111510385,-0.1420321201823332,2.8623399732707004,-2.478367537831948,0.0,0.17453292519943295,-0.029588128779388198,0.19837382348856672,0.0,0.0
0,1,0.40480709075927734,-0.044042021111510385,-0.08203212018233319,2.8623399732707004,-2.478367537831948,0.0,0.0,-0.029588128779388198,0.19837382348856672,0.0,0.0
0,1,0.4161489009857178,-0.044042021111510385,-0.08203212018233319,2.8623399732707004,-2.478367537831948,0.0,0.0,-0.029588128779388198,0.19837382348856672,0.0,0.0
0,1,0.4266650676727295,-0.1040420211115104,-0.05203212018233319,2.8623399732707004,-2.478367537831948,0.17453292519943295,-0.08726646259971647,-0.029588128779388198,0.19837382348856672,0.0,0.004540659069875532
