time,series_id,torque_trial,speed1,speed2,torque1,torque2
0.06239438056945801,2,0.3,791,593,0.3195,0.20700000000000002
0.07266974449157715,2,0.3,895,593,0.28800000000000003,0.20700000000000002
0.08331680297851562,2,0.3,1010,697,0.216,0.4005
0.09355640411376953,2,0.3,1010,769,0.216,0.3285
0.10388326644897461,2,0.3,1137,867,0.25650000000000006,0.34650000000000003
0.11414003372192383,2,0.3,1268,988,0.225,0.2295
0.1245412826538086,2,0.3,1373,1076,0.2655,0.31050000000000005
0.13470125198364258,2,0.3,1505,1153,0.234,0.2025
0.14541172981262207,2,0.3,1614,1257,0.25650000000000006,0.25650000000000006
0.1560380458831787,2,0.3,1724,1356,0.24750000000000003,0.30150000000000005
0.16620278358459473,2,0.3,1856,1422,0.261,0.28350000000000003
0.17650794982910156,2,0.3,1944,1521,0.24750000000000003,0.29250000000000004
0.1870441436767578,2,0.3,2059,1625,0.225,0.35550000000000004
0.19747281074523926,2,0.3,2131,1702,0.2295,0.31500000000000006
0.20785188674926758,2,0.3,2257,1801,0.261,0.24750000000000003
0.21841859817504883,2,0.3,2362,1895,0.30600000000000005,0.333
0.22857451438903809,2,0.3,2504,1999,0.28800000000000003,0.35100000000000003
0.23928523063659668,2,0.3,2620,2081,0.2205,0.2655
0.24987173080444336,2,0.3,2675,2169,0.17550000000000002,0.18450000000000003
0.26003170013427734,2,0.3,2785,2246,0.31050000000000005,0.30150000000000005
0.2702054977416992,2,0.3,2883,2351,0.21150000000000002,0.342
0.28087902069091797,2,0.3,2993,2433,0.261,0.28350000000000003
0.0,3,0.3,109,65,0.27,0.29250000000000004
0.010576963424682617,3,0.3,109,65,0.27,0.29250000000000004
0.021047592163085938,3,0.3,214,120,0.2745,0.27
0.031280517578125,3,0.3,335,175,0.24300000000000002,0.28350000000000003
0.04190659523010254,3,0.3,466,291,0.24750000000000003,0.25650000000000006
0.052454233169555664,3,0.3,582,417,0.31500000000000006,0.2745
0.06282496452331543,3,0.3,697,472,0.23850000000000002,0.234
0.07298874855041504,3,0.3,818,587,0.25650000000000006,0.279
0.08343362808227539,3,0.3,944,686,0.2025,0.25200000000000006
0.09385871887207031,3,0.3,1032,780,0.31050000000000005,0.35550000000000004
0.10401225090026855,3,0.3,1159,878,0.17550000000000002,0.29700000000000004
0.11427044868469238,3,0.3,1285,966,0.24750000000000003,0.17550000000000002
0.12445688247680664,3,0.3,1395,1027,0.34650000000000003,0.34650000000000003
0.1347658634185791,3,0.3,1510,1142,0.279,0.15750000000000003
